algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,source_csv,dataset
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.104392323,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.106536089,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.104292554,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.104161116,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.102563743,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.102562092,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.102576592,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.102541163,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.102575202,bw01,35760910,data/buffer-bw01-35760910.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.102563112,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.020927654,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.021093563,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.02131615,bw01,35760910,data/buffer-bw01-35760910.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.02131212,bw01,35760910,data/buffer-bw01-35760910.csv,random
