algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,source_csv,dataset
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.126006422,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.125997527,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.125972609,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.126009296,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.125998569,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.126007343,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.126000443,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.126031329,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.125995465,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.125959269,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.021148572,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.021152809,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.021169564,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.021157155,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.021151176,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.021152458,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.021152638,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.021166049,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.021170335,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.021156554,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,64,"1,1,1",1,selection,0.125998509,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,64,"1,1,1",1,selection,0.125965248,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,64,"1,1,1",1,selection,0.126009956,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,64,"1,1,1",1,selection,0.126014053,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,64,"1,1,1",1,selection,0.126001574,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,64,"1,1,1",1,selection,0.1260188,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,64,"1,1,1",1,selection,0.12600545,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,64,"1,1,1",1,selection,0.125993642,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,64,"1,1,1",1,selection,0.125978859,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,64,"1,1,1",1,selection,0.125993852,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,64,"1,1,1",1,selection,0.021170646,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,64,"1,1,1",1,selection,0.02117404,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,64,"1,1,1",1,selection,0.021175914,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,64,"1,1,1",1,selection,0.021158387,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,64,"1,1,1",1,selection,0.021171006,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,64,"1,1,1",1,selection,0.02116715,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,64,"1,1,1",1,selection,0.021177186,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,64,"1,1,1",1,selection,0.02116717,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,18,16777216,64,1,512,64,"1,1,1",1,selection,0.021169584,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,19,16777216,64,1,512,64,"1,1,1",1,selection,0.021164646,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,128,"1,1,1",1,selection,0.126010748,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,128,"1,1,1",1,selection,0.125970336,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,128,"1,1,1",1,selection,0.125997287,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,128,"1,1,1",1,selection,0.126004989,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,128,"1,1,1",1,selection,0.126003887,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,128,"1,1,1",1,selection,0.126014002,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,128,"1,1,1",1,selection,0.12602529,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,128,"1,1,1",1,selection,0.125990597,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,128,"1,1,1",1,selection,0.125974152,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,128,"1,1,1",1,selection,0.126014033,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,10,16777216,64,1,512,128,"1,1,1",1,selection,0.021194272,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,11,16777216,64,1,512,128,"1,1,1",1,selection,0.02117988,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,12,16777216,64,1,512,128,"1,1,1",1,selection,0.021182073,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,13,16777216,64,1,512,128,"1,1,1",1,selection,0.021184888,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,14,16777216,64,1,512,128,"1,1,1",1,selection,0.021188653,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,15,16777216,64,1,512,128,"1,1,1",1,selection,0.021183726,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,16,16777216,64,1,512,128,"1,1,1",1,selection,0.02117368,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
bits (random data),uniform,identity,17,16777216,64,1,512,128,"1,1,1",1,selection,0.021176435,hopper01,35760903,data/buffer-hopper01-35760903.csv,random
