algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
sort-in-registers (any data),uniform,ascending,10,16777216,64,1,512,32,"1,1,1",1,selection,0.126622419,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,11,16777216,64,1,512,32,"1,1,1",1,selection,0.126625033,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,12,16777216,64,1,512,32,"1,1,1",1,selection,0.126624031,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,13,16777216,64,1,512,32,"1,1,1",1,selection,0.126624752,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,14,16777216,64,1,512,32,"1,1,1",1,selection,0.126633225,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,15,16777216,64,1,512,32,"1,1,1",1,selection,0.126621917,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,16,16777216,64,1,512,32,"1,1,1",1,selection,0.1266232,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,17,16777216,64,1,512,32,"1,1,1",1,selection,0.126613144,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,18,16777216,64,1,512,32,"1,1,1",1,selection,0.126622238,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,19,16777216,64,1,512,32,"1,1,1",1,selection,0.126621868,hopper01,108407,ascending
bits (ascending data),uniform,ascending,10,16777216,64,1,512,32,"1,1,1",1,selection,0.022938238,hopper01,108407,ascending
bits (ascending data),uniform,ascending,11,16777216,64,1,512,32,"1,1,1",1,selection,0.022957137,hopper01,108407,ascending
bits (ascending data),uniform,ascending,12,16777216,64,1,512,32,"1,1,1",1,selection,0.02292567,hopper01,108407,ascending
bits (ascending data),uniform,ascending,13,16777216,64,1,512,32,"1,1,1",1,selection,0.022944448,hopper01,108407,ascending
bits (ascending data),uniform,ascending,14,16777216,64,1,512,32,"1,1,1",1,selection,0.022968044,hopper01,108407,ascending
bits (ascending data),uniform,ascending,15,16777216,64,1,512,32,"1,1,1",1,selection,0.022932279,hopper01,108407,ascending
bits (ascending data),uniform,ascending,16,16777216,64,1,512,32,"1,1,1",1,selection,0.022942896,hopper01,108407,ascending
bits (ascending data),uniform,ascending,17,16777216,64,1,512,32,"1,1,1",1,selection,0.022952059,hopper01,108407,ascending
bits (ascending data),uniform,ascending,18,16777216,64,1,512,32,"1,1,1",1,selection,0.022947622,hopper01,108407,ascending
bits (ascending data),uniform,ascending,19,16777216,64,1,512,32,"1,1,1",1,selection,0.022929174,hopper01,108407,ascending
