algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.149107674,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.149085135,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.149099265,volta05,108414,random
sort-in-registers (any data),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.149091083,volta05,108414,random
sort-in-registers (any data),uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.149082053,volta05,108414,random
sort-in-registers (any data),uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.149093548,volta05,108414,random
sort-in-registers (any data),uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.149097481,volta05,108414,random
sort-in-registers (any data),uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.14912066,volta05,108414,random
sort-in-registers (any data),uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.149124536,volta05,108414,random
sort-in-registers (any data),uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.14911498,volta05,108414,random
bits (random data),uniform,identity,10,16777216,64,1,512,32,"1,1,1",1,selection,0.022028086,volta05,108414,random
bits (random data),uniform,identity,11,16777216,64,1,512,32,"1,1,1",1,selection,0.022051736,volta05,108414,random
bits (random data),uniform,identity,12,16777216,64,1,512,32,"1,1,1",1,selection,0.022048168,volta05,108414,random
bits (random data),uniform,identity,13,16777216,64,1,512,32,"1,1,1",1,selection,0.022022337,volta05,108414,random
bits (random data),uniform,identity,14,16777216,64,1,512,32,"1,1,1",1,selection,0.022030042,volta05,108414,random
bits (random data),uniform,identity,15,16777216,64,1,512,32,"1,1,1",1,selection,0.022028237,volta05,108414,random
bits (random data),uniform,identity,16,16777216,64,1,512,32,"1,1,1",1,selection,0.022067917,volta05,108414,random
bits (random data),uniform,identity,17,16777216,64,1,512,32,"1,1,1",1,selection,0.022032242,volta05,108414,random
bits (random data),uniform,identity,18,16777216,64,1,512,32,"1,1,1",1,selection,0.022037219,volta05,108414,random
bits (random data),uniform,identity,19,16777216,64,1,512,32,"1,1,1",1,selection,0.022019953,volta05,108414,random
sort-in-registers (any data),uniform,identity,10,16777216,64,1,512,64,"1,1,1",1,selection,0.149093489,volta05,108414,random
sort-in-registers (any data),uniform,identity,11,16777216,64,1,512,64,"1,1,1",1,selection,0.149093104,volta05,108414,random
sort-in-registers (any data),uniform,identity,12,16777216,64,1,512,64,"1,1,1",1,selection,0.149109494,volta05,108414,random
