hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time,slowdown,category
ampere01,L40,baseline-dist,131072,8192,1,4,128,1,1,1,1,0.008874061999999999,1.0,other
ampere01,L40,baseline-dist,262144,4096,1,4,128,1,1,1,1,0.009773101000000001,1.0528953855227705,other
ampere01,L40,baseline-dist,524288,2048,1,4,128,1,1,1,1,0.0096946339,1.026432878177774,other
ampere01,L40,baseline-dist,1048576,1024,1,4,128,1,1,1,1,0.0076141922,1.0,other
ampere01,L40,baseline-dist,131072,8192,1,8,512,1,1,1,1,0.0138685471,1.0,other
ampere01,L40,baseline-dist,262144,4096,1,8,512,1,1,1,1,0.014322790499999998,1.0,other
ampere01,L40,baseline-dist,524288,2048,1,8,512,1,1,1,1,0.0143033795,1.0,other
ampere01,L40,baseline-dist,1048576,1024,1,8,512,1,1,1,1,0.013232977600000001,1.0053948226645173,other
ampere01,L40,baseline-dist,131072,8192,1,16,512,1,1,1,1,0.024226405700000002,1.0,other
ampere01,L40,baseline-dist,262144,4096,1,16,512,1,1,1,1,0.0245224961,1.0,other
ampere01,L40,baseline-dist,524288,2048,1,16,512,1,1,1,1,0.0242874296,1.0,other
ampere01,L40,baseline-dist,1048576,1024,1,16,512,1,1,1,1,0.0226415623,1.0,other
ampere01,L40,baseline-dist,131072,8192,1,32,512,1,1,1,1,0.0440261295,1.0,other
ampere01,L40,baseline-dist,262144,4096,1,32,512,1,1,1,1,0.044207593899999995,1.0,other
ampere01,L40,baseline-dist,524288,2048,1,32,512,1,1,1,1,0.0456436474,1.0031657085298595,other
ampere01,L40,baseline-dist,1048576,1024,1,32,512,1,1,1,1,0.1717014485,1.0000974938302354,other
ampere01,L40,baseline-dist,131072,8192,1,64,512,1,1,1,1,0.0860693816,1.0055364414118317,other
ampere01,L40,baseline-dist,262144,4096,1,64,512,1,1,1,1,0.0878828901,1.0,other
ampere01,L40,baseline-dist,524288,2048,1,64,512,1,1,1,1,0.3363687809,1.0002185617951207,other
ampere01,L40,baseline-dist,1048576,1024,1,64,512,1,1,1,1,0.33736843689999996,1.0,other
ampere01,L40,baseline-dist,131072,8192,1,128,256,1,1,1,1,0.1682962552,1.0,other
ampere01,L40,baseline-dist,262144,4096,1,128,256,1,1,1,1,0.6615194922,1.0000252977025494,other
ampere01,L40,baseline-dist,524288,2048,1,128,256,1,1,1,1,0.6665223068999999,1.0002890366378456,other
ampere01,L40,baseline-dist,1048576,1024,1,128,256,1,1,1,1,0.6659315387,1.0002987788046867,other
ampere01,L40,baseline-dist,131072,8192,1,256,256,1,1,1,1,0.6266821697999999,1.0019779711825445,other
ampere01,L40,baseline-dist,262144,4096,1,256,256,1,1,1,1,1.3211712239,1.0002972846523457,other
ampere01,L40,baseline-dist,524288,2048,1,256,256,1,1,1,1,1.3214200184,1.0002970243678648,other
ampere01,L40,baseline-dist,1048576,1024,1,256,256,1,1,1,1,1.3209598293,1.0002346069746204,other
ampere01,L40,cublas-dist,131072,8192,1,4,512,1,1,1,1,0.0225810196,1.004945049878449,other
ampere01,L40,cublas-dist,262144,4096,1,4,512,1,1,1,1,0.0222137478,1.0,other
ampere01,L40,cublas-dist,524288,2048,1,4,512,1,1,1,1,0.022737563,1.0011324444205938,other
ampere01,L40,cublas-dist,1048576,1024,1,4,512,1,1,1,1,0.0227137441,1.0056073713152396,other
ampere01,L40,cublas-dist,131072,8192,1,8,256,1,1,1,1,0.022537638800000002,1.0105572869302575,other
ampere01,L40,cublas-dist,262144,4096,1,8,256,1,1,1,1,0.022594481899999998,1.0113742802594343,other
ampere01,L40,cublas-dist,524288,2048,1,8,256,1,1,1,1,0.022821503700000002,1.0087718960133796,other
ampere01,L40,cublas-dist,1048576,1024,1,8,256,1,1,1,1,0.0228458575,1.0034958250913526,other
ampere01,L40,cublas-dist,131072,8192,1,16,64,1,1,1,1,0.0225913441,1.0,other
ampere01,L40,cublas-dist,262144,4096,1,16,64,1,1,1,1,0.0227155729,1.0000377816763864,other
ampere01,L40,cublas-dist,524288,2048,1,16,64,1,1,1,1,0.0228462782,1.0058306339991683,other
ampere01,L40,cublas-dist,1048576,1024,1,16,64,1,1,1,1,0.0227751812,1.0,other
ampere01,L40,cublas-dist,131072,8192,1,32,256,1,1,1,1,0.0227850494,1.0,other
ampere01,L40,cublas-dist,262144,4096,1,32,256,1,1,1,1,0.0228936224,1.0044382521052344,other
ampere01,L40,cublas-dist,524288,2048,1,32,256,1,1,1,1,0.0226930154,1.0,other
ampere01,L40,cublas-dist,1048576,1024,1,32,256,1,1,1,1,0.0229799681,1.0028788117030447,other
ampere01,L40,cublas-dist,131072,8192,1,64,512,1,1,1,1,0.0228189747,1.0,other
ampere01,L40,cublas-dist,262144,4096,1,64,512,1,1,1,1,0.0230066867,1.0027325236523688,other
ampere01,L40,cublas-dist,524288,2048,1,64,512,1,1,1,1,0.0231530028,1.0,other
ampere01,L40,cublas-dist,1048576,1024,1,64,512,1,1,1,1,0.0235797964,1.0027004725868487,other
ampere01,L40,cublas-dist,131072,8192,1,128,512,1,1,1,1,0.0231279299,1.0,other
ampere01,L40,cublas-dist,262144,4096,1,128,512,1,1,1,1,0.023374287900000002,1.0037549006041742,other
ampere01,L40,cublas-dist,524288,2048,1,128,512,1,1,1,1,0.0236281343,1.0,other
ampere01,L40,cublas-dist,1048576,1024,1,128,512,1,1,1,1,0.0243987786,1.0,other
ampere01,L40,cublas-dist,131072,8192,1,256,64,1,1,1,1,0.0307585723,1.0,other
ampere01,L40,cublas-dist,262144,4096,1,256,64,1,1,1,1,0.0334771676,1.0,other
ampere01,L40,cublas-dist,524288,2048,1,256,64,1,1,1,1,0.0339931981,1.0,other
ampere01,L40,cublas-dist,1048576,1024,1,256,64,1,1,1,1,0.0333278135,1.0,other
ampere01,L40,tiled-dist,131072,8192,1,4,8,1,1,1,1,0.0093792892,1.0,other
ampere01,L40,tiled-dist,262144,4096,1,4,8,1,1,1,1,0.009491106000000001,1.0,other
ampere01,L40,tiled-dist,524288,2048,1,4,8,1,1,1,1,0.009488932799999999,1.0,other
