hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time,slowdown
ampere01,L40,baseline-dist,131072,8192,1,4,128,1,1,1,1,0.008874061999999999,1.0
ampere01,L40,baseline-dist,131072,8192,1,4,512,1,1,1,1,0.0089817545,1.0121356488156157
ampere01,L40,baseline-dist,131072,8192,1,4,256,1,1,1,1,0.0091877834,1.0353526265649262
ampere01,L40,baseline-dist,131072,8192,1,4,64,1,1,1,1,0.0094940523,1.0698654460606656
ampere01,L40,baseline-dist,131072,8192,1,8,512,1,1,1,1,0.0138685471,1.0
ampere01,L40,baseline-dist,131072,8192,1,8,256,1,1,1,1,0.014097751,1.0165268862229988
ampere01,L40,baseline-dist,131072,8192,1,8,64,1,1,1,1,0.014355817500000001,1.0351349277243325
ampere01,L40,baseline-dist,131072,8192,1,8,128,1,1,1,1,0.014466599799999999,1.0431229526559418
ampere01,L40,baseline-dist,131072,8192,1,16,512,1,1,1,1,0.024226405700000002,1.0
ampere01,L40,baseline-dist,131072,8192,1,16,128,1,1,1,1,0.0244363785,1.008667104918498
ampere01,L40,baseline-dist,131072,8192,1,16,256,1,1,1,1,0.0247288437,1.020739271281996
ampere01,L40,baseline-dist,131072,8192,1,16,64,1,1,1,1,0.025094100200000004,1.0358160641221328
ampere01,L40,baseline-dist,131072,8192,1,32,512,1,1,1,1,0.0440261295,1.0
ampere01,L40,baseline-dist,131072,8192,1,32,128,1,1,1,1,0.044436470500000005,1.0093203968793125
ampere01,L40,baseline-dist,131072,8192,1,32,256,1,1,1,1,0.0447047629,1.0154143325272327
ampere01,L40,baseline-dist,131072,8192,1,32,64,1,1,1,1,0.0449910164,1.0219162327226607
ampere01,L40,baseline-dist,131072,8192,1,64,256,1,1,1,1,0.0855954872,1.0
ampere01,L40,baseline-dist,131072,8192,1,64,512,1,1,1,1,0.0860693816,1.0055364414118317
ampere01,L40,baseline-dist,131072,8192,1,64,128,1,1,1,1,0.0869058868,1.015309213638076
ampere01,L40,baseline-dist,131072,8192,1,64,64,1,1,1,1,0.0880528721,1.0287092810659297
ampere01,L40,baseline-dist,131072,8192,1,128,256,1,1,1,1,0.1682962552,1.0
ampere01,L40,baseline-dist,131072,8192,1,128,128,1,1,1,1,0.1687971268,1.0029761303922347
ampere01,L40,baseline-dist,131072,8192,1,128,512,1,1,1,1,0.1702447677,1.0115778719953359
ampere01,L40,baseline-dist,131072,8192,1,128,64,1,1,1,1,0.1714190143,1.0185551312255223
ampere01,L40,baseline-dist,131072,8192,1,256,64,1,1,1,1,0.6254450575,1.0
ampere01,L40,baseline-dist,131072,8192,1,256,256,1,1,1,1,0.6266821697999999,1.0019779711825445
ampere01,L40,baseline-dist,131072,8192,1,256,128,1,1,1,1,0.6277808118999999,1.00373454769846
ampere01,L40,baseline-dist,131072,8192,1,256,512,1,1,1,1,0.6374288114,1.0191603622992895
ampere01,L40,baseline-dist,262144,4096,1,4,512,1,1,1,1,0.009282119699999999,1.0
ampere01,L40,baseline-dist,262144,4096,1,4,64,1,1,1,1,0.009495511500000001,1.0229895548535106
ampere01,L40,baseline-dist,262144,4096,1,4,256,1,1,1,1,0.009599258,1.0341665815837304
ampere01,L40,baseline-dist,262144,4096,1,4,128,1,1,1,1,0.009773101000000001,1.0528953855227705
ampere01,L40,baseline-dist,262144,4096,1,8,512,1,1,1,1,0.014322790499999998,1.0
ampere01,L40,baseline-dist,262144,4096,1,8,256,1,1,1,1,0.0144203158,1.0068090991067697
ampere01,L40,baseline-dist,262144,4096,1,8,64,1,1,1,1,0.014558727799999999,1.0164728584140081
ampere01,L40,baseline-dist,262144,4096,1,8,128,1,1,1,1,0.014833828500000002,1.035680058295903
ampere01,L40,baseline-dist,262144,4096,1,16,512,1,1,1,1,0.0245224961,1.0
ampere01,L40,baseline-dist,262144,4096,1,16,64,1,1,1,1,0.0246680895,1.005937136228151
ampere01,L40,baseline-dist,262144,4096,1,16,256,1,1,1,1,0.024745620099999997,1.0090987474965893
ampere01,L40,baseline-dist,262144,4096,1,16,128,1,1,1,1,0.025006036199999998,1.0197182251769223
ampere01,L40,baseline-dist,262144,4096,1,32,512,1,1,1,1,0.044207593899999995,1.0
ampere01,L40,baseline-dist,262144,4096,1,32,256,1,1,1,1,0.044328580699999995,1.00273678771737
ampere01,L40,baseline-dist,262144,4096,1,32,128,1,1,1,1,0.0444820816,1.0062090621946291
ampere01,L40,baseline-dist,262144,4096,1,32,64,1,1,1,1,0.0449299495,1.0163400795264725
ampere01,L40,baseline-dist,262144,4096,1,64,512,1,1,1,1,0.0878828901,1.0
ampere01,L40,baseline-dist,262144,4096,1,64,256,1,1,1,1,0.08868142729999999,1.0090863784644697
ampere01,L40,baseline-dist,262144,4096,1,64,64,1,1,1,1,0.0891083767,1.0139445414073838
ampere01,L40,baseline-dist,262144,4096,1,64,128,1,1,1,1,0.08920368129999999,1.015028991405461
ampere01,L40,baseline-dist,262144,4096,1,128,512,1,1,1,1,0.6615027577,1.0
ampere01,L40,baseline-dist,262144,4096,1,128,256,1,1,1,1,0.6615194922,1.0000252977025494
ampere01,L40,baseline-dist,262144,4096,1,128,128,1,1,1,1,0.6646478238,1.0047544262868007
ampere01,L40,baseline-dist,262144,4096,1,128,64,1,1,1,1,0.6647690189000001,1.004937638070258
ampere01,L40,baseline-dist,262144,4096,1,256,512,1,1,1,1,1.3207785767,1.0
ampere01,L40,baseline-dist,262144,4096,1,256,256,1,1,1,1,1.3211712239,1.0002972846523457
ampere01,L40,baseline-dist,262144,4096,1,256,64,1,1,1,1,1.3245163806,1.002830000399718
ampere01,L40,baseline-dist,262144,4096,1,256,128,1,1,1,1,1.3251876286,1.0033382218471594
ampere01,L40,baseline-dist,524288,2048,1,4,256,1,1,1,1,0.009444975999999999,1.0
ampere01,L40,baseline-dist,524288,2048,1,4,512,1,1,1,1,0.009494987100000001,1.0052949949264034
ampere01,L40,baseline-dist,524288,2048,1,4,64,1,1,1,1,0.0096571291,1.0224620051972606
ampere01,L40,baseline-dist,524288,2048,1,4,128,1,1,1,1,0.0096946339,1.026432878177774
ampere01,L40,baseline-dist,524288,2048,1,8,512,1,1,1,1,0.0143033795,1.0
ampere01,L40,baseline-dist,524288,2048,1,8,256,1,1,1,1,0.014561608100000002,1.0180536774543387
ampere01,L40,baseline-dist,524288,2048,1,8,128,1,1,1,1,0.0146790305,1.0262630939771962
ampere01,L40,baseline-dist,524288,2048,1,8,64,1,1,1,1,0.0147119605,1.0285653470915737
ampere01,L40,baseline-dist,524288,2048,1,16,512,1,1,1,1,0.0242874296,1.0
ampere01,L40,baseline-dist,524288,2048,1,16,256,1,1,1,1,0.0244362986,1.006129467072135
ampere01,L40,baseline-dist,524288,2048,1,16,64,1,1,1,1,0.0246061515,1.0131229160618955
ampere01,L40,baseline-dist,524288,2048,1,16,128,1,1,1,1,0.0246918286,1.016650547491448
ampere01,L40,baseline-dist,524288,2048,1,32,256,1,1,1,1,0.0454996089,1.0
ampere01,L40,baseline-dist,524288,2048,1,32,512,1,1,1,1,0.0456436474,1.0031657085298595
ampere01,L40,baseline-dist,524288,2048,1,32,128,1,1,1,1,0.0468680704,1.030076335447358
ampere01,L40,baseline-dist,524288,2048,1,32,64,1,1,1,1,0.047442884000000005,1.0427097099729137
ampere01,L40,baseline-dist,524288,2048,1,64,256,1,1,1,1,0.3362952796,1.0
ampere01,L40,baseline-dist,524288,2048,1,64,512,1,1,1,1,0.3363687809,1.0002185617951207
ampere01,L40,baseline-dist,524288,2048,1,64,64,1,1,1,1,0.3370961246,1.002381374490158
ampere01,L40,baseline-dist,524288,2048,1,64,128,1,1,1,1,0.3371107054,1.0024247316256412
ampere01,L40,baseline-dist,524288,2048,1,128,512,1,1,1,1,0.6663297132,1.0
ampere01,L40,baseline-dist,524288,2048,1,128,256,1,1,1,1,0.6665223068999999,1.0002890366378456
ampere01,L40,baseline-dist,524288,2048,1,128,64,1,1,1,1,0.6681688157,1.0027600487619976
ampere01,L40,baseline-dist,524288,2048,1,128,128,1,1,1,1,0.6685949564,1.0033995830519418
ampere01,L40,baseline-dist,524288,2048,1,256,512,1,1,1,1,1.3210276410000001,1.0
ampere01,L40,baseline-dist,524288,2048,1,256,256,1,1,1,1,1.3214200184,1.0002970243678648
ampere01,L40,baseline-dist,524288,2048,1,256,64,1,1,1,1,1.3243543193,1.002518250335384
ampere01,L40,baseline-dist,524288,2048,1,256,128,1,1,1,1,1.325126665,1.0031029055507854
ampere01,L40,baseline-dist,1048576,1024,1,4,128,1,1,1,1,0.0076141922,1.0
ampere01,L40,baseline-dist,1048576,1024,1,4,512,1,1,1,1,0.0083448413,1.0959588464289094
ampere01,L40,baseline-dist,1048576,1024,1,4,256,1,1,1,1,0.0085173939,1.1186208170579146
ampere01,L40,baseline-dist,1048576,1024,1,4,64,1,1,1,1,0.0093300756,1.2253533079976626
ampere01,L40,baseline-dist,1048576,1024,1,8,64,1,1,1,1,0.0131619711,1.0
ampere01,L40,baseline-dist,1048576,1024,1,8,512,1,1,1,1,0.013232977600000001,1.0053948226645173
ampere01,L40,baseline-dist,1048576,1024,1,8,256,1,1,1,1,0.0134822629,1.024334637841592
ampere01,L40,baseline-dist,1048576,1024,1,8,128,1,1,1,1,0.0135932024,1.03276342857188
ampere01,L40,baseline-dist,1048576,1024,1,16,512,1,1,1,1,0.0226415623,1.0
ampere01,L40,baseline-dist,1048576,1024,1,16,256,1,1,1,1,0.0229120649,1.0119471702710197
ampere01,L40,baseline-dist,1048576,1024,1,16,128,1,1,1,1,0.0230742374,1.0191097722969407
ampere01,L40,baseline-dist,1048576,1024,1,16,64,1,1,1,1,0.0230807278,1.01939643096095
ampere01,L40,baseline-dist,1048576,1024,1,32,256,1,1,1,1,0.1716847103,1.0
ampere01,L40,baseline-dist,1048576,1024,1,32,512,1,1,1,1,0.1717014485,1.0000974938302354
ampere01,L40,baseline-dist,1048576,1024,1,32,64,1,1,1,1,0.171919739,1.0013689553343994
ampere01,L40,baseline-dist,1048576,1024,1,32,128,1,1,1,1,0.172045603,1.0021020666276537
ampere01,L40,baseline-dist,1048576,1024,1,64,512,1,1,1,1,0.33736843689999996,1.0
ampere01,L40,baseline-dist,1048576,1024,1,64,256,1,1,1,1,0.3374324982,1.000189885279692
ampere01,L40,baseline-dist,1048576,1024,1,64,64,1,1,1,1,0.3378895381,1.0015446056684743
ampere01,L40,baseline-dist,1048576,1024,1,64,128,1,1,1,1,0.3380130735,1.0019107792238167
ampere01,L40,baseline-dist,1048576,1024,1,128,512,1,1,1,1,0.6657326319,1.0
ampere01,L40,baseline-dist,1048576,1024,1,128,256,1,1,1,1,0.6659315387,1.0002987788046867
ampere01,L40,baseline-dist,1048576,1024,1,128,64,1,1,1,1,0.6674842755,1.0026311517808595
ampere01,L40,baseline-dist,1048576,1024,1,128,128,1,1,1,1,0.6678576904,1.0031920599925155
ampere01,L40,baseline-dist,1048576,1024,1,256,512,1,1,1,1,1.3206499956,1.0
ampere01,L40,baseline-dist,1048576,1024,1,256,256,1,1,1,1,1.3209598293,1.0002346069746204
ampere01,L40,baseline-dist,1048576,1024,1,256,64,1,1,1,1,1.3242628647,1.0027356749419127
ampere01,L40,baseline-dist,1048576,1024,1,256,128,1,1,1,1,1.3249753267,1.0032751532309172
ampere01,L40,cublas-dist,131072,8192,1,4,64,1,1,1,1,0.0224699048,1.0
ampere01,L40,cublas-dist,131072,8192,1,4,512,1,1,1,1,0.0225810196,1.004945049878449
ampere01,L40,cublas-dist,131072,8192,1,4,256,1,1,1,1,0.022684431499999998,1.0095472901157996
ampere01,L40,cublas-dist,131072,8192,1,4,128,1,1,1,1,0.0227038202,1.0104101642655825
ampere01,L40,cublas-dist,131072,8192,1,8,128,1,1,1,1,0.0223021882,1.0
ampere01,L40,cublas-dist,131072,8192,1,8,256,1,1,1,1,0.022537638800000002,1.0105572869302575
ampere01,L40,cublas-dist,131072,8192,1,8,512,1,1,1,1,0.022723023000000002,1.0188696640987005
ampere01,L40,cublas-dist,131072,8192,1,8,64,1,1,1,1,0.0227847927,1.021639334027322
ampere01,L40,cublas-dist,131072,8192,1,16,64,1,1,1,1,0.0225913441,1.0
ampere01,L40,cublas-dist,131072,8192,1,16,512,1,1,1,1,0.0226442885,1.0023435701641141
ampere01,L40,cublas-dist,131072,8192,1,16,256,1,1,1,1,0.0226901464,1.0043734582396981
