hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time,slowdown,category
ampere01,L40,bits,524288,64,2,1,512,13,1,1,1,0.000209577,1.0082526065420452,q == 64
ampere01,L40,bits,524288,64,4,1,512,13,1,1,1,0.00020937324999999998,1.0102928896741292,q == 64
ampere01,L40,bits,524288,64,8,1,512,13,1,1,1,0.00021136285,1.0149615492937119,q == 64
ampere01,L40,bits,524288,64,16,1,512,13,1,1,1,0.0002163253,1.019750103235855,q == 64
ampere01,L40,bits,524288,64,32,1,512,13,1,1,1,0.00021562575,1.012961159974491,q == 64
ampere01,L40,bits,524288,64,64,1,512,13,1,1,1,0.00021621804999999997,1.0,q == 64
ampere01,L40,bits,524288,64,128,1,512,13,1,1,1,0.00022529705000000003,1.0138001014713345,q == 64
ampere01,L40,bits,524288,64,256,1,512,13,1,1,1,0.00023617165,1.001547028850095,q == 64
ampere01,L40,bits,524288,64,512,1,512,13,1,1,1,0.00026210115,1.0177189488846008,q == 64
ampere01,L40,bits,524288,64,1024,1,512,13,1,1,1,0.00027239585,1.0168896217441492,q == 64
ampere01,L40,bits,524288,64,2048,1,512,13,1,1,1,0.000319588,1.0266995269969308,q == 64
ampere01,L40,bits,524288,256,2,1,512,5,1,1,1,0.00072955775,1.0059489691252577,q >= 256
ampere01,L40,bits,524288,256,4,1,512,5,1,1,1,0.00072921135,1.0058801414252088,q >= 256
ampere01,L40,bits,524288,256,8,1,512,5,1,1,1,0.0007290033999999999,1.0053007648662122,q >= 256
ampere01,L40,bits,524288,256,16,1,512,5,1,1,1,0.00072954485,1.0057980451355664,q >= 256
ampere01,L40,bits,524288,256,32,1,512,5,1,1,1,0.0007289503999999999,1.0041799596399639,q >= 256
ampere01,L40,bits,524288,256,64,1,512,5,1,1,1,0.0007291141499999999,1.0052062635363646,q >= 256
ampere01,L40,bits,524288,256,128,1,512,5,1,1,1,0.0007288730999999999,1.0011801972462337,q >= 256
ampere01,L40,bits,524288,256,256,1,512,5,1,1,1,0.0007320720499999999,1.0015926080984199,q >= 256
ampere01,L40,bits,524288,256,512,1,512,5,1,1,1,0.00074555965,1.0115867276329003,q >= 256
ampere01,L40,bits,524288,256,1024,1,512,5,1,1,1,0.00075279355,1.007498756508631,q >= 256
ampere01,L40,bits,524288,256,2048,1,512,5,1,1,1,0.0007741434,1.0,q >= 256
ampere01,L40,bits,524288,512,2,1,512,5,1,1,1,0.00136429455,1.0080596326216436,q >= 256
ampere01,L40,bits,524288,512,4,1,512,5,1,1,1,0.0013639065,1.0073388260943308,q >= 256
ampere01,L40,bits,524288,512,8,1,512,5,1,1,1,0.0013636071,1.0075817248266963,q >= 256
ampere01,L40,bits,524288,512,16,1,512,5,1,1,1,0.0013652030000000002,1.0082562430491901,q >= 256
ampere01,L40,bits,524288,512,32,1,512,5,1,1,1,0.00136434015,1.0072672380818646,q >= 256
ampere01,L40,bits,524288,512,64,1,512,5,1,1,1,0.00136461355,1.006229958647353,q >= 256
ampere01,L40,bits,524288,512,128,1,512,5,1,1,1,0.0013655785,1.006125593284345,q >= 256
ampere01,L40,bits,524288,512,256,1,512,5,1,1,1,0.00137491895,1.009767005478768,q >= 256
ampere01,L40,bits,524288,512,512,1,512,5,1,1,1,0.001401935,1.0242087191599434,q >= 256
ampere01,L40,bits,524288,512,1024,1,512,5,1,1,1,0.00141831935,1.0069697786812433,q >= 256
ampere01,L40,bits,524288,512,2048,1,512,5,1,1,1,0.0014996228,1.0292869766805457,q >= 256
ampere01,L40,bits,524288,1024,2,1,512,5,1,1,1,0.00263362,1.0004663628505075,q >= 256
ampere01,L40,bits,524288,1024,4,1,512,5,1,1,1,0.00263326855,1.0000095509590947,q >= 256
ampere01,L40,bits,524288,1024,8,1,512,5,1,1,1,0.00263344915,1.0000903079807855,q >= 256
ampere01,L40,bits,524288,1024,16,1,512,5,1,1,1,0.0026354834000000002,1.000459519588878,q >= 256
ampere01,L40,bits,524288,1024,32,1,512,5,1,1,1,0.00263550905,1.000778234836031,q >= 256
ampere01,L40,bits,524288,1024,64,1,512,5,1,1,1,0.0026369456,1.0008510065905138,q >= 256
ampere01,L40,bits,524288,1024,128,1,512,5,1,1,1,0.0026396217,1.0014178922800214,q >= 256
ampere01,L40,bits,524288,1024,256,1,512,5,1,1,1,0.0026525137000000002,1.0046333716916347,q >= 256
ampere01,L40,bits,524288,1024,512,1,512,5,1,1,1,0.0026935755499999997,1.0116474595187581,q >= 256
ampere01,L40,bits,524288,1024,1024,1,512,5,1,1,1,0.0027239167500000003,1.0121039478870923,q >= 256
ampere01,L40,bits,524288,1024,2048,1,512,5,1,1,1,0.00288044365,1.0093297815770077,q >= 256
ampere01,L40,bits,524288,2048,2,1,512,5,1,1,1,0.00520546635,1.0069228010094324,q >= 256
ampere01,L40,bits,524288,2048,4,1,512,5,1,1,1,0.0052020481,1.0064055223254889,q >= 256
ampere01,L40,bits,524288,2048,8,1,512,5,1,1,1,0.00520196285,1.0062845452750566,q >= 256
ampere01,L40,bits,524288,2048,16,1,512,5,1,1,1,0.00520779775,1.0072998029702707,q >= 256
ampere01,L40,bits,524288,2048,32,1,512,5,1,1,1,0.0052062996,1.0067406943964647,q >= 256
ampere01,L40,bits,524288,2048,64,1,512,5,1,1,1,0.0052061964,1.0064880847306497,q >= 256
ampere01,L40,bits,524288,2048,128,1,512,5,1,1,1,0.0052090316,1.0061842774084797,q >= 256
ampere01,L40,bits,524288,2048,256,1,512,5,1,1,1,0.00521801875,1.0062530165907828,q >= 256
ampere01,L40,bits,524288,2048,512,1,512,5,1,1,1,0.00526349775,1.009678986207052,q >= 256
ampere01,L40,bits,524288,2048,1024,1,512,5,1,1,1,0.00530416905,1.0022538750597336,q >= 256
ampere01,L40,bits,524288,2048,2048,1,512,5,1,1,1,0.005521278,1.0,q >= 256
ampere01,L40,bits,524288,4096,2,1,512,5,1,1,1,0.0102478049,1.0,q >= 256
ampere01,L40,bits,524288,4096,4,1,512,5,1,1,1,0.01024766955,1.0,q >= 256
ampere01,L40,bits,524288,4096,8,1,512,5,1,1,1,0.0102496922,1.000086327117015,q >= 256
ampere01,L40,bits,524288,4096,16,1,512,5,1,1,1,0.01025226145,1.000060448854448,q >= 256
ampere01,L40,bits,524288,4096,32,1,512,5,1,1,1,0.01025573325,1.0,q >= 256
ampere01,L40,bits,524288,4096,64,1,512,5,1,1,1,0.010259251399999999,1.0,q >= 256
ampere01,L40,bits,524288,4096,128,1,512,5,1,1,1,0.01026988175,1.0,q >= 256
ampere01,L40,bits,524288,4096,256,1,512,5,1,1,1,0.0102926124,1.0015289289943692,q >= 256
ampere01,L40,bits,524288,4096,512,1,512,5,1,1,1,0.0103523595,1.0024951938043185,q >= 256
ampere01,L40,bits,524288,4096,1024,1,512,5,1,1,1,0.010419651200000001,1.001063954280513,q >= 256
ampere01,L40,bits,524288,4096,2048,1,512,5,1,1,1,0.01079842665,1.0037091060875867,q >= 256
ampere01,L40,bits,524288,8192,2,1,512,5,1,1,1,0.020393989549999998,1.0001101107378543,q >= 256
ampere01,L40,bits,524288,8192,4,1,512,5,1,1,1,0.0203932384,1.0,q >= 256
ampere01,L40,bits,524288,8192,8,1,512,5,1,1,1,0.020395784450000003,1.0000198868578507,q >= 256
ampere01,L40,bits,524288,8192,16,1,512,5,1,1,1,0.020400258799999998,1.0000310839051856,q >= 256
ampere01,L40,bits,524288,8192,32,1,512,5,1,1,1,0.020408073,1.0000054758042034,q >= 256
ampere01,L40,bits,524288,8192,64,1,512,5,1,1,1,0.02041785445,1.0000521923407169,q >= 256
ampere01,L40,bits,524288,8192,128,1,512,5,1,1,1,0.02043970355,1.0001523321620225,q >= 256
ampere01,L40,bits,524288,8192,256,1,512,5,1,1,1,0.020475902900000002,1.0010686639557702,q >= 256
ampere01,L40,bits,524288,8192,512,1,512,5,1,1,1,0.02057695715,1.0021795563463087,q >= 256
ampere01,L40,bits,524288,8192,1024,1,512,5,1,1,1,0.020703633399999997,1.0017293636698135,q >= 256
ampere01,L40,bits,524288,8192,2048,1,512,5,1,1,1,0.021362105200000002,1.00436495319842,q >= 256
ampere01,L40,bits-prefetch,524288,64,2,1,512,9,1,1,1,0.00020979735000000002,1.0210540301604094,q == 64
ampere01,L40,bits-prefetch,524288,64,4,1,512,9,1,1,1,0.00020904985,1.015145367901231,q == 64
ampere01,L40,bits-prefetch,524288,64,8,1,512,9,1,1,1,0.00020959709999999999,1.019486023095861,q == 64
ampere01,L40,bits-prefetch,524288,64,16,1,512,9,1,1,1,0.00021485164999999998,1.0250969087255664,q == 64
ampere01,L40,bits-prefetch,524288,64,32,1,512,9,1,1,1,0.00021466245,1.0186166123815599,q == 64
ampere01,L40,bits-prefetch,524288,64,64,1,512,9,1,1,1,0.00021568495,1.0078648852801972,q == 64
ampere01,L40,bits-prefetch,524288,64,128,1,512,9,1,1,1,0.00022320975,1.0095993689374951,q == 64
ampere01,L40,bits-prefetch,524288,64,256,1,512,9,1,1,1,0.0002298423,1.0,q == 64
ampere01,L40,bits-prefetch,524288,64,512,1,512,9,1,1,1,0.0002508437,1.0288718916706248,q == 64
ampere01,L40,bits-prefetch,524288,64,1024,1,512,9,1,1,1,0.00025801525000000003,1.0220872680211956,q == 64
ampere01,L40,bits-prefetch,524288,64,2048,1,512,9,1,1,1,0.0002999713,1.018337083152632,q == 64
ampere01,L40,bits-prefetch,524288,256,2,1,512,5,1,1,1,0.00073135345,1.004645441574171,q >= 256
ampere01,L40,bits-prefetch,524288,256,4,1,512,5,1,1,1,0.00073161605,1.0052067357541075,q >= 256
ampere01,L40,bits-prefetch,524288,256,8,1,512,5,1,1,1,0.00073191535,1.0053451538235796,q >= 256
ampere01,L40,bits-prefetch,524288,256,16,1,512,5,1,1,1,0.0007320505,1.005360384817716,q >= 256
ampere01,L40,bits-prefetch,524288,256,32,1,512,5,1,1,1,0.00073188825,1.0053947250752822,q >= 256
ampere01,L40,bits-prefetch,524288,256,64,1,512,5,1,1,1,0.0007311436,1.0040350574237138,q >= 256
ampere01,L40,bits-prefetch,524288,256,128,1,512,5,1,1,1,0.0007312133,1.0038560302787785,q >= 256
ampere01,L40,bits-prefetch,524288,256,256,1,512,5,1,1,1,0.0007306659999999999,1.0001153875056,q >= 256
ampere01,L40,bits-prefetch,524288,256,512,1,512,5,1,1,1,0.00074159405,1.0110835607414754,q >= 256
ampere01,L40,bits-prefetch,524288,256,1024,1,512,5,1,1,1,0.00074666865,1.0073619298341001,q >= 256
ampere01,L40,bits-prefetch,524288,256,2048,1,512,5,1,1,1,0.0007717071,1.0,q >= 256
ampere01,L40,bits-prefetch,524288,512,2,1,512,5,1,1,1,0.00136905325,1.0061800496882212,q >= 256
ampere01,L40,bits-prefetch,524288,512,4,1,512,5,1,1,1,0.0013681729,1.0060054538752032,q >= 256
ampere01,L40,bits-prefetch,524288,512,8,1,512,5,1,1,1,0.0013682517,1.0054610447434569,q >= 256
ampere01,L40,bits-prefetch,524288,512,16,1,512,5,1,1,1,0.0013697964499999999,1.0068039928429853,q >= 256
ampere01,L40,bits-prefetch,524288,512,32,1,512,5,1,1,1,0.00136848795,1.0060755810918762,q >= 256
ampere01,L40,bits-prefetch,524288,512,64,1,512,5,1,1,1,0.0013700599000000002,1.0065061163694267,q >= 256
