hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time,slowdown
ampere01,L40,bits,524288,64,2,1,512,16,1,1,1,0.0002078616,1.0
ampere01,L40,bits,524288,64,2,1,512,15,1,1,1,0.00020845325000000002,1.002846365081381
ampere01,L40,bits,524288,64,2,1,512,14,1,1,1,0.00020947375,1.0077558817982735
ampere01,L40,bits,524288,64,2,1,512,13,1,1,1,0.000209577,1.0082526065420452
ampere01,L40,bits,524288,64,2,1,512,11,1,1,1,0.00021329934999999998,1.026160435597532
ampere01,L40,bits,524288,64,2,1,512,12,1,1,1,0.0002142092,1.0305376269594768
ampere01,L40,bits,524288,64,2,1,512,10,1,1,1,0.00021568535,1.037639227255058
ampere01,L40,bits,524288,64,2,1,512,9,1,1,1,0.00021840549999999997,1.0507255789429117
ampere01,L40,bits,524288,64,2,1,512,8,1,1,1,0.00022107355,1.0635612830845138
ampere01,L40,bits,524288,64,2,1,256,16,1,1,1,0.000223969,1.0774909843857643
ampere01,L40,bits,524288,64,2,1,512,7,1,1,1,0.00022520079999999997,1.0834170428785306
ampere01,L40,bits,524288,64,2,1,256,15,1,1,1,0.0002263919,1.0891472980098296
ampere01,L40,bits,524288,64,2,1,512,6,1,1,1,0.0002301367,1.1071631316221948
ampere01,L40,bits,524288,64,2,1,256,14,1,1,1,0.00023014685,1.1072119621902266
ampere01,L40,bits,524288,64,2,1,256,13,1,1,1,0.00023244325000000001,1.11825969779892
ampere01,L40,bits,524288,64,2,1,256,12,1,1,1,0.00023515989999999998,1.1313292113598663
ampere01,L40,bits,524288,64,2,1,512,5,1,1,1,0.00023831875,1.1465261019832427
ampere01,L40,bits,524288,64,2,1,256,11,1,1,1,0.00023861314999999998,1.147942429000835
ampere01,L40,bits,524288,64,2,1,256,10,1,1,1,0.00024247249999999999,1.1665093504524162
ampere01,L40,bits,524288,64,2,1,512,4,1,1,1,0.00024794905000000004,1.1928564487139521
ampere01,L40,bits,524288,64,2,1,256,9,1,1,1,0.0002484806,1.195413679101864
ampere01,L40,bits,524288,64,2,1,256,8,1,1,1,0.0002540395,1.2221569544350666
ampere01,L40,bits,524288,64,2,1,256,7,1,1,1,0.0002637427,1.2688380152947922
ampere01,L40,bits,524288,64,2,1,512,3,1,1,1,0.00027154204999999996,1.3063598567508379
ampere01,L40,bits,524288,64,2,1,128,16,1,1,1,0.0002717243,1.3072366420733794
ampere01,L40,bits,524288,64,2,1,256,6,1,1,1,0.00027683315,1.331814774830945
ampere01,L40,bits,524288,64,2,1,128,15,1,1,1,0.000279114,1.3427877010472353
ampere01,L40,bits,524288,64,2,1,128,14,1,1,1,0.0002861298,1.3765399669780276
ampere01,L40,bits,524288,64,2,1,128,13,1,1,1,0.0002947708,1.4181108968659915
ampere01,L40,bits,524288,64,2,1,256,5,1,1,1,0.0002962346,1.4251530826280565
ampere01,L40,bits,524288,64,2,1,128,12,1,1,1,0.0002985301,1.4361964884326879
ampere01,L40,bits,524288,64,2,1,128,11,1,1,1,0.00031673504999999997,1.5237785622741284
ampere01,L40,bits,524288,64,2,1,512,2,1,1,1,0.00032507894999999997,1.563920175732314
ampere01,L40,bits,524288,64,2,1,128,10,1,1,1,0.0003291717,1.5836099597039568
ampere01,L40,bits,524288,64,2,1,256,4,1,1,1,0.00034270685,1.648726123536045
ampere01,L40,bits,524288,64,2,1,128,9,1,1,1,0.0003429319,1.6498088150961987
