hostname,GPU,algorithm,dim,category,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,min_slowdown,max_slowdown,total_count
ampere01,L40,baseline-dist,4,other,128,1,1,1,1,1.0,1.0528953855227705,4
ampere01,L40,baseline-dist,8,other,512,1,1,1,1,1.0,1.0053948226645173,4
ampere01,L40,baseline-dist,16,other,512,1,1,1,1,1.0,1.0,4
ampere01,L40,baseline-dist,32,other,512,1,1,1,1,1.0,1.0031657085298595,4
ampere01,L40,baseline-dist,64,other,512,1,1,1,1,1.0,1.0055364414118317,4
ampere01,L40,baseline-dist,128,other,256,1,1,1,1,1.0,1.0002987788046867,4
ampere01,L40,baseline-dist,256,other,256,1,1,1,1,1.0002346069746204,1.0019779711825445,4
ampere01,L40,cublas-dist,4,other,512,1,1,1,1,1.0,1.0056073713152396,4
ampere01,L40,cublas-dist,8,other,256,1,1,1,1,1.0034958250913526,1.0113742802594343,4
ampere01,L40,cublas-dist,16,other,64,1,1,1,1,1.0,1.0058306339991683,4
ampere01,L40,cublas-dist,32,other,256,1,1,1,1,1.0,1.0044382521052344,4
ampere01,L40,cublas-dist,64,other,512,1,1,1,1,1.0,1.0027325236523688,4
ampere01,L40,cublas-dist,128,other,512,1,1,1,1,1.0,1.0037549006041742,4
ampere01,L40,cublas-dist,256,other,64,1,1,1,1,1.0,1.0,4
ampere01,L40,tiled-dist,4,other,8,1,1,1,1,1.0,1.0,4
ampere01,L40,tiled-dist,8,other,8,1,1,1,1,1.0,1.0,4
ampere01,L40,tiled-dist,16,other,16,1,1,1,1,1.0,1.0,4
ampere01,L40,tiled-dist,32,other,32,1,1,1,1,1.0,1.0006649326549149,4
ampere01,L40,tiled-dist,64,other,32,1,1,1,1,1.0,1.0447012659861383,4
ampere01,L40,tiled-dist,128,other,32,1,1,1,1,1.0,1.0,4
ampere01,L40,tiled-dist,256,other,32,1,1,1,1,1.0,1.0,4
ampere02,A100,baseline-dist,4,other,256,1,1,1,1,1.0,1.0032439503895842,4
ampere02,A100,baseline-dist,8,other,256,1,1,1,1,1.0,1.005876467424668,4
ampere02,A100,baseline-dist,16,other,256,1,1,1,1,1.0,1.0106628802737971,4
ampere02,A100,baseline-dist,32,other,512,1,1,1,1,1.0132602239538615,1.0353312939979495,4
ampere02,A100,baseline-dist,64,other,256,1,1,1,1,1.0,1.0,4
ampere02,A100,baseline-dist,128,other,256,1,1,1,1,1.0,1.0,4
ampere02,A100,baseline-dist,256,other,128,1,1,1,1,1.0,1.0,4
ampere02,A100,cublas-dist,4,other,512,1,1,1,1,1.0,1.0003588531683838,4
ampere02,A100,cublas-dist,8,other,128,1,1,1,1,1.0,1.0002915357334263,4
ampere02,A100,cublas-dist,16,other,256,1,1,1,1,1.0,1.000510791549658,4
ampere02,A100,cublas-dist,32,other,64,1,1,1,1,1.000007006530818,1.0005886520258103,4
ampere02,A100,cublas-dist,64,other,128,1,1,1,1,1.0,1.0011101512281637,4
ampere02,A100,cublas-dist,128,other,512,1,1,1,1,1.0,1.0016773954074356,4
ampere02,A100,cublas-dist,256,other,64,1,1,1,1,1.0,1.0017185794655443,4
ampere02,A100,tiled-dist,4,other,16,1,1,1,1,1.0,1.0,4
ampere02,A100,tiled-dist,8,other,16,1,1,1,1,1.0,1.0,4
ampere02,A100,tiled-dist,16,other,16,1,1,1,1,1.0,1.0,4
ampere02,A100,tiled-dist,32,other,32,1,1,1,1,1.0,1.0,4
ampere02,A100,tiled-dist,64,other,32,1,1,1,1,1.0,1.0,4
ampere02,A100,tiled-dist,128,other,32,1,1,1,1,1.0,1.0,4
ampere02,A100,tiled-dist,256,other,32,1,1,1,1,1.0,1.0,4
hopper01,H100,baseline-dist,4,other,128,1,1,1,1,1.0,1.0129364195864317,4
hopper01,H100,baseline-dist,8,other,128,1,1,1,1,1.0,1.0029634990586744,4
hopper01,H100,baseline-dist,16,other,128,1,1,1,1,1.0,1.002443011089261,4
hopper01,H100,baseline-dist,32,other,128,1,1,1,1,1.0,1.0047339149252765,4
hopper01,H100,baseline-dist,64,other,64,1,1,1,1,1.0,1.005589194884988,4
hopper01,H100,baseline-dist,128,other,512,1,1,1,1,1.0,1.0000484022201892,4
hopper01,H100,baseline-dist,256,other,64,1,1,1,1,1.0,1.0027231722406984,4
hopper01,H100,cublas-dist,4,other,512,1,1,1,1,1.0,1.0001830891053494,4
hopper01,H100,cublas-dist,8,other,512,1,1,1,1,1.0000639674130711,1.0004673401363244,4
hopper01,H100,cublas-dist,16,other,256,1,1,1,1,1.0,1.0002906738189241,4
hopper01,H100,cublas-dist,32,other,256,1,1,1,1,1.0,1.0003559833529867,4
hopper01,H100,cublas-dist,64,other,64,1,1,1,1,1.0,1.0006166897678945,4
hopper01,H100,cublas-dist,128,other,128,1,1,1,1,1.0,1.0066277149480711,4
hopper01,H100,cublas-dist,256,other,64,1,1,1,1,1.0,1.0,4
hopper01,H100,magma-dist,4,other,256,1,1,1,1,1.0,1.0,4
hopper01,H100,magma-dist,8,other,256,1,1,1,1,1.0,1.0,4
hopper01,H100,magma-dist,16,other,256,1,1,1,1,1.0,1.0,4
hopper01,H100,magma-dist,32,other,256,1,1,1,1,1.0,1.0,4
hopper01,H100,magma-dist,64,other,256,1,1,1,1,1.0,1.0,4
hopper01,H100,magma-dist,128,other,256,1,1,1,1,1.0,1.0,4
hopper01,H100,magma-dist,256,other,256,1,1,1,1,1.0,1.0,4
hopper01,H100,tiled-dist,4,other,16,1,1,1,1,1.0,1.0,4
hopper01,H100,tiled-dist,8,other,16,1,1,1,1,1.0,1.0,4
hopper01,H100,tiled-dist,16,other,16,1,1,1,1,1.0,1.0,4
hopper01,H100,tiled-dist,32,other,16,1,1,1,1,1.0,1.0,4
hopper01,H100,tiled-dist,64,other,16,1,1,1,1,1.0,1.0,4
hopper01,H100,tiled-dist,128,other,32,1,1,1,1,1.0,1.0,4
hopper01,H100,tiled-dist,256,other,32,1,1,1,1,1.0,1.0,4
volta05,V100,baseline-dist,4,other,256,1,1,1,1,1.0,1.0193589318016854,4
volta05,V100,baseline-dist,8,other,256,1,1,1,1,1.0,1.0,4
volta05,V100,baseline-dist,16,other,256,1,1,1,1,1.0,1.0,4
volta05,V100,baseline-dist,32,other,256,1,1,1,1,1.0,1.0,4
volta05,V100,baseline-dist,64,other,256,1,1,1,1,1.0,1.0,4
volta05,V100,baseline-dist,128,other,256,1,1,1,1,1.0,1.0,4
volta05,V100,baseline-dist,256,other,256,1,1,1,1,1.0,1.0028956554182031,4
volta05,V100,cublas-dist,4,other,512,1,1,1,1,1.0,1.0064818100312096,4
volta05,V100,cublas-dist,8,other,256,1,1,1,1,1.0,1.0055125284434159,4
volta05,V100,cublas-dist,16,other,512,1,1,1,1,1.0,1.0054598530095604,4
volta05,V100,cublas-dist,32,other,64,1,1,1,1,1.0,1.0002119557787275,4
volta05,V100,cublas-dist,64,other,512,1,1,1,1,1.0003285822092987,1.0035945328501115,4
volta05,V100,cublas-dist,128,other,64,1,1,1,1,1.0,1.0064470482014722,4
volta05,V100,cublas-dist,256,other,512,1,1,1,1,1.0,1.0017998855103643,4
volta05,V100,tiled-dist,4,other,16,1,1,1,1,1.0,1.0,4
volta05,V100,tiled-dist,8,other,16,1,1,1,1,1.0,1.0,4
volta05,V100,tiled-dist,16,other,16,1,1,1,1,1.0,1.0,4
volta05,V100,tiled-dist,32,other,32,1,1,1,1,1.0,1.0,4
volta05,V100,tiled-dist,64,other,32,1,1,1,1,1.0,1.0,4
volta05,V100,tiled-dist,128,other,32,1,1,1,1,1.0,1.0,4
volta05,V100,tiled-dist,256,other,32,1,1,1,1,1.0,1.0,4
