hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time
ampere01,L40,baseline-dist,131072,8192,1,4,128,1,1,1,1,0.008874061999999999
ampere01,L40,baseline-dist,131072,8192,1,8,512,1,1,1,1,0.0138685471
ampere01,L40,baseline-dist,131072,8192,1,16,512,1,1,1,1,0.024226405700000002
ampere01,L40,baseline-dist,131072,8192,1,32,512,1,1,1,1,0.0440261295
ampere01,L40,baseline-dist,131072,8192,1,64,256,1,1,1,1,0.0855954872
ampere01,L40,baseline-dist,131072,8192,1,128,256,1,1,1,1,0.1682962552
ampere01,L40,baseline-dist,131072,8192,1,256,64,1,1,1,1,0.6254450575
ampere01,L40,baseline-dist,262144,4096,1,4,512,1,1,1,1,0.009282119699999999
ampere01,L40,baseline-dist,262144,4096,1,8,512,1,1,1,1,0.014322790499999998
ampere01,L40,baseline-dist,262144,4096,1,16,512,1,1,1,1,0.0245224961
ampere01,L40,baseline-dist,262144,4096,1,32,512,1,1,1,1,0.044207593899999995
ampere01,L40,baseline-dist,262144,4096,1,64,512,1,1,1,1,0.0878828901
ampere01,L40,baseline-dist,262144,4096,1,128,512,1,1,1,1,0.6615027577
ampere01,L40,baseline-dist,262144,4096,1,256,512,1,1,1,1,1.3207785767
ampere01,L40,baseline-dist,524288,2048,1,4,256,1,1,1,1,0.009444975999999999
ampere01,L40,baseline-dist,524288,2048,1,8,512,1,1,1,1,0.0143033795
ampere01,L40,baseline-dist,524288,2048,1,16,512,1,1,1,1,0.0242874296
ampere01,L40,baseline-dist,524288,2048,1,32,256,1,1,1,1,0.0454996089
ampere01,L40,baseline-dist,524288,2048,1,64,256,1,1,1,1,0.3362952796
ampere01,L40,baseline-dist,524288,2048,1,128,512,1,1,1,1,0.6663297132
ampere01,L40,baseline-dist,524288,2048,1,256,512,1,1,1,1,1.3210276410000001
ampere01,L40,baseline-dist,1048576,1024,1,4,128,1,1,1,1,0.0076141922
ampere01,L40,baseline-dist,1048576,1024,1,8,64,1,1,1,1,0.0131619711
ampere01,L40,baseline-dist,1048576,1024,1,16,512,1,1,1,1,0.0226415623
ampere01,L40,baseline-dist,1048576,1024,1,32,256,1,1,1,1,0.1716847103
ampere01,L40,baseline-dist,1048576,1024,1,64,512,1,1,1,1,0.33736843689999996
ampere01,L40,baseline-dist,1048576,1024,1,128,512,1,1,1,1,0.6657326319
ampere01,L40,baseline-dist,1048576,1024,1,256,512,1,1,1,1,1.3206499956
ampere01,L40,cublas-dist,131072,8192,1,4,64,1,1,1,1,0.0224699048
ampere01,L40,cublas-dist,131072,8192,1,8,128,1,1,1,1,0.0223021882
ampere01,L40,cublas-dist,131072,8192,1,16,64,1,1,1,1,0.0225913441
ampere01,L40,cublas-dist,131072,8192,1,32,256,1,1,1,1,0.0227850494
ampere01,L40,cublas-dist,131072,8192,1,64,512,1,1,1,1,0.0228189747
ampere01,L40,cublas-dist,131072,8192,1,128,512,1,1,1,1,0.0231279299
ampere01,L40,cublas-dist,131072,8192,1,256,64,1,1,1,1,0.0307585723
ampere01,L40,cublas-dist,262144,4096,1,4,512,1,1,1,1,0.0222137478
ampere01,L40,cublas-dist,262144,4096,1,8,512,1,1,1,1,0.0223403762
ampere01,L40,cublas-dist,262144,4096,1,16,512,1,1,1,1,0.0227147147
ampere01,L40,cublas-dist,262144,4096,1,32,128,1,1,1,1,0.022792463699999998
ampere01,L40,cublas-dist,262144,4096,1,64,128,1,1,1,1,0.0229439917
ampere01,L40,cublas-dist,262144,4096,1,128,64,1,1,1,1,0.0232868481
ampere01,L40,cublas-dist,262144,4096,1,256,64,1,1,1,1,0.0334771676
ampere01,L40,cublas-dist,524288,2048,1,4,64,1,1,1,1,0.0227118431
ampere01,L40,cublas-dist,524288,2048,1,8,128,1,1,1,1,0.0226230566
ampere01,L40,cublas-dist,524288,2048,1,16,256,1,1,1,1,0.0227138421
ampere01,L40,cublas-dist,524288,2048,1,32,256,1,1,1,1,0.0226930154
ampere01,L40,cublas-dist,524288,2048,1,64,512,1,1,1,1,0.0231530028
ampere01,L40,cublas-dist,524288,2048,1,128,512,1,1,1,1,0.0236281343
ampere01,L40,cublas-dist,524288,2048,1,256,64,1,1,1,1,0.0339931981
ampere01,L40,cublas-dist,1048576,1024,1,4,256,1,1,1,1,0.022587089900000003
ampere01,L40,cublas-dist,1048576,1024,1,8,512,1,1,1,1,0.0227662706
ampere01,L40,cublas-dist,1048576,1024,1,16,64,1,1,1,1,0.0227751812
ampere01,L40,cublas-dist,1048576,1024,1,32,64,1,1,1,1,0.022914003
ampere01,L40,cublas-dist,1048576,1024,1,64,64,1,1,1,1,0.0235162913
ampere01,L40,cublas-dist,1048576,1024,1,128,512,1,1,1,1,0.0243987786
