hostname,GPU,algorithm,category,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,min_slowdown,max_slowdown,total_count
ampere01,L40,bits,q == 64,512,13,1,1,1,1.0,1.0266995269969308,11
ampere01,L40,bits,q >= 256,512,5,1,1,1,1.0,1.0292869766805457,66
ampere01,L40,bits-prefetch,q == 64,512,9,1,1,1,1.0,1.0288718916706248,11
ampere01,L40,bits-prefetch,q >= 256,512,5,1,1,1,1.0,1.0171768651461937,66
ampere01,L40,block-select-tunable,q == 64,64,4,1,1,1,1.2911798494032407,1.9452799367313607,7
ampere01,L40,block-select-tunable,q >= 256,64,4,1,1,1,1.0231530106511446,1.8826670025110612,42
ampere01,L40,fused-cache,other,1,4,8,2,1,1.0,1.0639538706397027,36
ampere01,L40,fused-cache,q >= 1024,2,4,4,4,1,1.0230755642723315,1.4561925407899385,72
ampere01,L40,fused-regs-tunable,other,4,2,4,1,1,1.0,1.0,36
ampere01,L40,fused-regs-tunable,q >= 1024,4,4,4,1,1,1.0,1.4660482906098784,72
ampere01,L40,partial-bitonic,q == 64,512,1,1,1,1,1.0,1.0975133186168327,7
ampere01,L40,partial-bitonic,q >= 256,128,1,1,1,1,1.0,1.2920728751169035,21
ampere01,L40,partial-bitonic-regs,q == 64,512,1,1,1,1,1.0,1.1597135601207829,7
ampere01,L40,partial-bitonic-regs,q >= 256,128,1,1,1,1,1.0,1.3037270171185036,21
ampere01,L40,partial-bitonic-warp,q == 64,512,1,1,1,1,1.0,1.0347247503574277,7
ampere01,L40,partial-bitonic-warp,q >= 256,128,1,1,1,1,1.0,1.4415951273689005,21
ampere01,L40,partial-bitonic-warp-static,q == 64,512,1,1,1,1,1.0,1.0441956551078433,7
ampere01,L40,partial-bitonic-warp-static,q >= 256,128,1,1,1,1,1.0,1.4244119930454808,21
ampere01,L40,warp-select-tunable,q == 64,64,7,1,1,1,1.0,1.021621239860241,7
ampere01,L40,warp-select-tunable,q >= 256,128,9,1,1,1,1.0,1.436915000527205,42
ampere02,A100,bits,q == 64,512,16,1,1,1,1.0,1.041995990855262,11
ampere02,A100,bits,q >= 256,256,14,1,1,1,1.006036294190467,1.2427130086768028,66
ampere02,A100,bits-prefetch,q == 64,512,13,1,1,1,1.0,1.057400314214874,11
ampere02,A100,bits-prefetch,q >= 256,512,7,1,1,1,1.0,1.2711318708000876,66
