hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time
ampere01,L40,bits,524288,64,2,1,512,16,1,1,1,0.0002078616
ampere01,L40,bits,524288,64,4,1,512,16,1,1,1,0.00020724015
ampere01,L40,bits,524288,64,8,1,512,16,1,1,1,0.00020824715
ampere01,L40,bits,524288,64,16,1,512,16,1,1,1,0.0002121356
ampere01,L40,bits,524288,64,32,1,512,16,1,1,1,0.00021286675000000002
ampere01,L40,bits,524288,64,64,1,512,13,1,1,1,0.00021621804999999997
ampere01,L40,bits,524288,64,128,1,512,15,1,1,1,0.00022223025
ampere01,L40,bits,524288,64,256,1,512,11,1,1,1,0.00023580685000000002
ampere01,L40,bits,524288,64,512,1,512,8,1,1,1,0.00025753785
ampere01,L40,bits,524288,64,1024,1,512,12,1,1,1,0.00026787159999999997
ampere01,L40,bits,524288,64,2048,1,512,9,1,1,1,0.00031127705
ampere01,L40,bits,524288,256,2,1,256,8,1,1,1,0.0007252433
ampere01,L40,bits,524288,256,4,1,128,16,1,1,1,0.00072494855
ampere01,L40,bits,524288,256,8,1,256,8,1,1,1,0.0007251594999999999
ampere01,L40,bits,524288,256,16,1,256,8,1,1,1,0.0007253393
ampere01,L40,bits,524288,256,32,1,256,10,1,1,1,0.0007259161
ampere01,L40,bits,524288,256,64,1,256,8,1,1,1,0.0007253378499999999
ampere01,L40,bits,524288,256,128,1,512,11,1,1,1,0.0007280139
ampere01,L40,bits,524288,256,256,1,512,3,1,1,1,0.000730908
ampere01,L40,bits,524288,256,512,1,256,6,1,1,1,0.0007370199999999999
ampere01,L40,bits,524288,256,1024,1,256,6,1,1,1,0.00074719055
ampere01,L40,bits,524288,256,2048,1,512,5,1,1,1,0.0007741434
ampere01,L40,bits,524288,512,2,1,128,5,1,1,1,0.0013533867499999999
ampere01,L40,bits,524288,512,4,1,128,7,1,1,1,0.0013539699500000001
ampere01,L40,bits,524288,512,8,1,256,3,1,1,1,0.0013533464
ampere01,L40,bits,524288,512,16,1,128,5,1,1,1,0.0013540238499999998
